CustomerID,LookalikeID,SimilarityScore
C0001,C0194,0.40492753118932323
C0001,C0104,0.3740015051203954
C0001,C0020,0.36660865634533374
C0002,C0030,0.40461685378594076
C0002,C0091,0.38377803020909534
C0002,C0071,0.32015798105808685
C0003,C0181,0.4775717980039305
C0003,C0134,0.47101615387800955
C0003,C0144,0.4237999071645031
C0004,C0070,0.3519014889798192
C0004,C0175,0.3160978979266089
C0004,C0132,0.27959855424498353
C0005,C0096,0.48745613929263704
C0005,C0023,0.47025182492905515
C0005,C0055,0.3820996241448556
C0006,C0040,0.48690905811550333
C0006,C0178,0.3978109049066898
C0006,C0058,0.3141630233621907
C0007,C0079,0.6174415040345874
C0007,C0118,0.47827697423174026
C0007,C0020,0.4566150346666943
C0008,C0144,0.32675054883392246
C0008,C0169,0.2788847602830613
C0008,C0091,0.2605603345519998
C0009,C0140,0.5334414848517182
C0009,C0083,0.5308424299367157
C0009,C0162,0.49889269779677986
C0010,C0094,0.5150640624213302
C0010,C0092,0.4055165171649109
C0010,C0143,0.36601219885018743
C0011,C0135,0.5132829815830866
C0011,C0120,0.36518919196353145
C0011,C0173,0.30476072206930527
C0012,C0164,0.4882570480226085
C0012,C0158,0.37512956279052745
C0012,C0173,0.3562327676008174
C0013,C0169,0.4507555311104062
C0013,C0092,0.367680125565066
C0013,C0099,0.3172449545746057
C0014,C0128,0.9029431929322236
C0014,C0159,0.7627853837791155
C0014,C0058,0.4170254520952303
C0015,C0073,0.7231186862042914
C0015,C0036,0.5997106100667363
C0015,C0059,0.45098107211950483
C0016,C0187,0.6344636680418955
C0016,C0064,0.5402930019578335
C0016,C0052,0.4583307205365141
C0017,C0071,0.4555208306481358
C0017,C0024,0.35875591144627567
C0017,C0037,0.3556280919122832
C0018,C0177,0.3650726150609085
C0018,C0115,0.3248317582517517
C0018,C0059,0.3118993939079399
C0019,C0064,0.39778151760889546
C0019,C0024,0.38594281438544276
C0019,C0084,0.31264571801309227
C0020,C0026,0.6270690651519936
C0020,C0104,0.4724650853066013
C0020,C0007,0.4566150346666943
